127.0.0.1 - - [17/May/2018:13:09:33 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/ HTTP/1.1" 200 13517
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/css/ionicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/js/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/js/jquery-3.2.1.js;jsessionid=B1A02B5F28AFA67DBE871DE1936B0FEC HTTP/1.1" 200 268039
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:34 +0900] "GET /cancho/resources/js/jquery.appear.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/js/jquery.incremental-counter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/bottom-shadow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/fonts/agency-fb.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/face-map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/chat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/chat1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/edit2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/logo-black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:09:35 +0900] "GET /cancho/resources/images/blur.png HTTP/1.1" 304 -
